id,suburb,area,station_count,station_count_by_area,station_count_by_area_plus_1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.403,EMU CREEK,0.001918229,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.457,BIRREGURRA,0.013026863,11,844.4089854,845.4089854
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.398,EASTERN VIEW,0.001986757,2,1006.665622,1007.665622
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.399,BRAYBROOK,0.000442909,23,51929.45931,51930.45931
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.400,WARRANDYTE SOUTH,0.000441524,7,15854.16965,15855.16965
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.404,MONOMEITH,0.00194827,1,513.2760093,514.2760093
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.406,THORPDALE,0.006617728,5,755.5462582,756.5462582
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.409,DRYSDALE,0.00411958,29,7039.551956,7040.551956
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.407,ABERFELDY,0.001106555,4,3614.823867,3615.823867
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.408,NAREEWILLOCK,0.009399788,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.410,ST KILDA EAST,0.000231869,7,30189.40527,30190.40527
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.416,ST ALBANS PARK,0.00043321,3,6925.045311,6926.045311
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.417,NEWLANDS ARM,0.000432784,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.460,OAKLEIGH EAST,0.000210942,5,23703.20835,23704.20835
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.418,BELGRAVE,0.000430894,13,30169.85744,30170.85744
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.419,DOVETON,0.00042297,13,30735.03612,30736.03612
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.420,CREEK JUNCTION,0.01407491,1,71.04841233,72.04841233
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.421,LINDENOW,0.001314931,4,3041.985762,3042.985762
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.422,PAARATTE,0.001318523,2,1516.849024,1517.849024
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.424,GOORAM,0.011387204,1,87.81787317,88.81787317
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.423,EXFORD,0.001146947,2,1743.76033,1744.76033
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.427,TITTYBONG,0.008548701,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.428,BAROMI,0.000101281,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.429,BAKERY HILL,2.53E-05,4,158124.2015,158125.2015
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.437,NORTH BENDIGO,0.000419423,8,19073.81583,19074.81583
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.430,WERRIBEE,0.004376745,74,16907.54127,16908.54127
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.431,TARNEIT,0.003917276,34,8679.50061,8680.50061
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.432,CRAIGIEBURN,0.003616441,57,15761.35275,15762.35275
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.433,CHADSTONE,0.000320784,13,40525.69209,40526.69209
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.434,AIREYS INLET,0.002079278,7,3366.553281,3367.553281
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.440,FOREST HILL,0.00041657,21,50411.67399,50412.67399
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.441,RYTHDALE,0.000413129,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.462,EDITHVALE,0.000209741,6,28606.67383,28607.67383
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.637,EPSOM,0.001075545,7,6508.329057,6509.329057
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.442,BURNEWANG,0.002890633,6,2075.669699,2076.669699
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.638,MANIFOLD HEIGHTS,9.62E-05,1,10390.46615,10391.46615
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.443,ESSENDON FIELDS,0.000304862,55,180409.6695,180410.6695
